1	0.76933
2	0.76555
3	0.76849
4	0.76345
5	0.76050
6	0.75756
7	0.75882
8	0.75336
9	0.74706
10	0.74706
11	0.74496
12	0.74244
13	0.73739
14	0.73739
15	0.73319
16	0.73235
17	0.72941
18	0.73235
19	0.72857
20	0.72563
21	0.71891
22	0.71513
23	0.71429
24	0.70882
25	0.70714
26	0.70378
27	0.70126
28	0.69664
29	0.69412
30	0.69118
31	0.69286
32	0.68655
33	0.68697
34	0.68109
35	0.68067
36	0.67605
37	0.67101
38	0.66933
39	0.66807
40	0.66134
41	0.65924
42	0.65378
43	0.64874
44	0.64328
45	0.63950
46	0.63739
47	0.63361
48	0.63067
49	0.62731
50	0.62563
