1	0.79673
2	0.79464
3	0.79715
4	0.79380
5	0.79296
6	0.79338
7	0.78667
8	0.77829
9	0.77452
10	0.77326
11	0.76446
12	0.75901
13	0.75356
14	0.75021
15	0.74560
16	0.74308
17	0.74350
18	0.73973
19	0.73973
20	0.73847
21	0.73303
22	0.72590
23	0.72297
24	0.72381
25	0.72087
26	0.72213
27	0.71668
28	0.71375
29	0.71333
30	0.70872
31	0.70872
32	0.70788
33	0.70201
34	0.70034
35	0.69908
36	0.69698
37	0.69405
38	0.69153
39	0.68776
40	0.68776
41	0.68357
42	0.67728
43	0.67351
44	0.67225
45	0.66974
46	0.66303
47	0.66136
48	0.66136
49	0.65884
50	0.65801
