1	0.71459
2	0.71416
3	0.71630
4	0.71502
5	0.71160
6	0.71031
7	0.70047
8	0.69790
9	0.69020
10	0.68849
11	0.67993
12	0.67694
13	0.67608
14	0.67223
15	0.67052
16	0.66709
17	0.66923
18	0.66752
19	0.66496
20	0.66367
21	0.65896
22	0.65811
23	0.65640
24	0.65169
25	0.64955
26	0.64442
27	0.64527
28	0.64484
29	0.64399
30	0.64270
31	0.64399
32	0.63885
33	0.63843
34	0.63843
35	0.63243
36	0.62901
37	0.62516
38	0.62430
39	0.62259
40	0.62088
41	0.61703
42	0.61617
43	0.61404
44	0.61361
45	0.61190
46	0.60933
47	0.60762
48	0.60505
49	0.60377
50	0.60291
