1600	3	2008	329900
1534	3	2009	314900
2040	4	1999	314900
2567	4	1997	314000
3890	3	2009	573900
3137	3	2008	579900
3031	4	2003	599000
4478	5	2000	699900
1000	1	2001	169900
852	2	2001	179900
1427	3	1997	198999
1236	3	2000	199900
1380	3	2001	212000
1239	3	2004	229900
1416	2	2005	232000
1203	3	2007	239500
1664	2	2010	368500
2400	3	2001	369000
2104	3	2003	399900
2300	4	2002	449900
1458	3	2008	464500
2526	3	2007	469000
2200	3	2008	475000
2609	4	2001	499998
3000	4	1999	539900
4215	4	2004	549000
2238	3	2007	329900
1890	3	2010	329999
2132	4	2001	345000
2000	3	2001	347000
1839	2	2007	349900
1888	2	2000	255000
1268	3	2008	259900
1962	4	1999	259900
1811	4	2001	285900
2162	4	2000	287000
1200	3	2009	299000
1320	2	2009	299900
2637	3	2005	299900
1852	4	2001	299900
1985	4	2000	299900
1940	4	1998	239999
1494	3	2007	242500
1604	3	2006	242900
1100	3	2009	249900
1437	3	2005	249900
1767	3	1999	252900
